_ID,NAME,PROJECT_ID,DESCRIPTION,EMP_ID,PROJECTMANAGERID,STARTDATE,ENDDATE,STATUS,URL,APPROVAL,__V
6614ec0bd9baff57ed104886,DataCraft,0d0f8ac9-a122-4608-b65e-403bc3b593e6,"['Vue.js', 'Cybersecurity', 'Problem Solving']",EMP_1,EMP_241,2023-05-03 00:00:00,2024-04-18 00:00:00,active,http://howard.com/,Approved,0
6614ec0bd9baff57ed104887,DataPulse,20751e10-70f0-4c36-8123-9afacc7fc6b5,"['MySQL', 'Docker', 'Ruby']",EMP_1,EMP_537,2020-11-13 00:00:00,2024-04-13 00:00:00,active,https://www.anderson.info/,Rejected,0
6614ec0bd9baff57ed104888,TechSpark,3dbc7222-4812-4564-9f1b-7a061bac0492,"['NoSQL', 'Objective-C', 'Kotlin']",EMP_1,EMP_221,2020-10-22 00:00:00,2024-04-21 00:00:00,completed,http://mullins.com/,Rejected,0
6614ec0bd9baff57ed104889,CodeCraft,fe096073-7dbd-4cd8-88d3-65372e295ad7,"['Agile Product Management', 'CSS', 'Angular']",EMP_1,EMP_925,2022-01-24 00:00:00,2024-04-14 00:00:00,completed,http://rowe-pittman.com/,Approved,0
6614ec0bd9baff57ed10488a,CatalystCommerce,3b6543fd-7bce-40be-9239-ba538bd44a3b,"['Artificial Intelligence', 'Kubernetes', 'SQL']",EMP_2,EMP_921,2022-03-13 00:00:00,2024-04-12 00:00:00,completed,https://www.winters-keller.com/,Rejected,0
6614ec0bd9baff57ed10488b,DataLink Inventory Tracker,850884f5-1e89-400b-84e1-1ff90bb877ca,"['Azure', 'Test-Driven Development', 'PostgreSQL']",EMP_2,EMP_357,2023-11-02 00:00:00,2024-05-05 00:00:00,active,https://salazar-coleman.com/,Approved,0
6614ec0bd9baff57ed10488c,InnovatePro,95bc6026-8743-448f-beb0-19c2e652b675,"['PHP', 'Information Security', 'Penetration Testing']",EMP_2,EMP_870,2021-11-25 00:00:00,2024-05-04 00:00:00,active,http://www.murray.info/,Rejected,0
6614ec0bd9baff57ed10488d,DataCraft,b73b9abb-517b-4243-ad80-2451e5fa1f35,"['Collaboration', 'Behavior-Driven Development', 'Responsive Design']",EMP_2,EMP_199,2020-12-11 00:00:00,2024-04-10 00:00:00,completed,https://www.valdez-brown.com/,Approved,0
6614ec0bd9baff57ed10488e,VortexVision Virtual Assistant,e2e4749f-9809-40e9-ad22-7aabaf3c4366,"['NoSQL', 'JavaScript', 'Collaboration']",EMP_3,EMP_348,2023-05-08 00:00:00,2024-04-15 00:00:00,completed,http://www.edwards.net/,Approved,0
6614ec0bd9baff57ed10488f,NexGen Mobile Scheduler,15254961-90c6-47ac-9853-ac274fea9bab,"['Microservices', 'Java', 'Network Security']",EMP_3,EMP_181,2021-02-01 00:00:00,2024-05-01 00:00:00,active,http://www.stark.net/,Approved,0
6614ec0bd9baff57ed104890,DataLink Inventory Tracker,54f2b348-5540-463b-b482-d04f2ed1e872,"['Flask', 'Wireframing', 'Information Security']",EMP_3,EMP_133,2023-03-08 00:00:00,2024-04-16 00:00:00,completed,https://www.rodriguez.info/,Approved,0
6614ec0bd9baff57ed104891,AgileTech,348b0b41-9329-40c2-aef6-0b5ea3b31772,"['Communication', 'Requirements Analysis', 'NoSQL']",EMP_3,EMP_780,2020-02-04 00:00:00,2024-05-03 00:00:00,completed,https://rojas-smith.com/,Approved,0
6614ec0bd9baff57ed104892,InnovaTech,f8689a92-9dc0-42cb-a5aa-dd47adb15feb,"['Swift', 'Scrum', 'Leadership']",EMP_4,EMP_643,2020-02-17 00:00:00,2024-04-15 00:00:00,completed,https://www.hicks.biz/,Rejected,0
6614ec0bd9baff57ed104893,LogicLane Project Tracker,a9bd8df9-20e3-437f-9805-c237d63b601c,"['Machine Learning', 'Scrum', 'Containerization']",EMP_4,EMP_399,2020-02-20 00:00:00,2024-04-30 00:00:00,active,https://gonzalez.com/,Rejected,0
6614ec0bd9baff57ed104894,DataForge Dashboard Creator,13f66bb2-30a0-4755-8588-4070df8e4c2f,"['Objective-C', 'Angular', 'HTML']",EMP_4,EMP_864,2023-12-14 00:00:00,2024-04-14 00:00:00,completed,http://www.nelson-barnes.net/,Approved,0
6614ec0bd9baff57ed104895,PixelPulse,5b4d1b7f-7b28-44b3-b37e-71148b4e7647,"['PostgreSQL', 'Behavior-Driven Development', 'Requirements Analysis']",EMP_4,EMP_275,2023-01-30 00:00:00,2024-04-13 00:00:00,active,http://www.cruz.com/,Approved,0
6614ec0bd9baff57ed104896,FusionSoft Email Client,5aaeb3af-dbe8-46f5-8ce4-54f386c32dc6,"['SQL', 'Product Management', 'C#']",EMP_5,EMP_195,2022-11-24 00:00:00,2024-05-07 00:00:00,active,https://www.valencia-hodges.org/,Rejected,0
6614ec0bd9baff57ed104897,SwiftCode,a2424154-c0fa-4faf-8a73-406254144d3c,"['Technical Writing', 'Data Science', 'Network Security']",EMP_5,EMP_301,2023-08-17 00:00:00,2024-05-07 00:00:00,active,http://www.beck.com/,Rejected,0
6614ec0bd9baff57ed104898,DataPulse,a76c6120-7edc-4fb5-8a8a-0d2a1ff3d165,"['MySQL', 'Product Management', 'Django']",EMP_5,EMP_428,2020-08-13 00:00:00,2024-04-11 00:00:00,completed,https://hess.biz/,Approved,0
6614ec0bd9baff57ed104899,InnovaTech,be50a396-62ca-4234-8288-038e97785a95,"['Data Science', 'Continuous Integration', 'Microservices']",EMP_5,EMP_987,2020-07-23 00:00:00,2024-05-08 00:00:00,completed,https://www.garza.com/,Rejected,0
6614ec0bd9baff57ed10489a,QuickTech Remote Support,dd539de7-36cc-4922-bdff-694bdc48bc3d,"['Communication', 'CSS', 'Flask']",EMP_6,EMP_581,2022-09-14 00:00:00,2024-04-30 00:00:00,active,https://www.banks.com/,Approved,0
6614ec0bd9baff57ed10489b,AgileFlow,e351db7b-5256-4255-ba36-024f9ee37aa9,"['Kotlin', 'Statistical Analysis', 'CI/CD']",EMP_6,EMP_880,2023-05-13 00:00:00,2024-04-15 00:00:00,completed,http://www.mills.com/,Approved,0
6614ec0bd9baff57ed10489c,VortexVision Virtual Assistant,f6d4a6e8-4a26-49f7-87a1-b9dd16ca1e78,"['Troubleshooting', 'Docker', 'DevOps']",EMP_6,EMP_746,2020-11-29 00:00:00,2024-05-07 00:00:00,active,http://decker.org/,Rejected,0
6614ec0bd9baff57ed10489d,PixelWorks,856ff639-83be-4923-80e5-1ede55250ed9,"['PostgreSQL', 'Artificial Intelligence', 'Agile Product Management']",EMP_6,EMP_519,2020-08-04 00:00:00,2024-04-22 00:00:00,active,http://www.ward.com/,Approved,0
6614ec0bd9baff57ed10489e,DataWave,6ff37da5-da1c-4f54-8681-4c5284edc4b4,"['Business Analysis', 'Penetration Testing', 'Google Cloud Platform']",EMP_7,EMP_226,2021-09-07 00:00:00,2024-04-18 00:00:00,active,https://www.williams.com/,Approved,0
6614ec0bd9baff57ed10489f,DataPulse,5b554827-ed4c-41ec-a556-f3002ffae1e1,"['DevOps', 'Statistical Analysis', 'Swift']",EMP_7,EMP_634,2022-02-08 00:00:00,2024-04-22 00:00:00,completed,https://jones.com/,Rejected,0
6614ec0bd9baff57ed1048a0,FusionSoft Email Client,dd8f4a40-1158-429b-866f-bec2d07581fa,"['Interaction Design', 'User Research', 'Requirements Analysis']",EMP_7,EMP_291,2020-05-07 00:00:00,2024-04-16 00:00:00,completed,https://rogers.biz/,Rejected,0
